player_id,year,matches_played,runs,highest_score,bat_avg,centuries,wickets,best_bowling_innings,bowl_avg,five_wicket_hauls,catches,stumps,ave_diff,match_format,id
56283,2007,7,7.0,5,3.5,0.0,10.0,2/16,16.1,0.0,0.0,0.0,-12.59,T20I,123
56283,2008,2,1.0,1*,1.0,0.0,5.0,4/16,12.4,0.0,0.0,0.0,-11.39,T20I,124
56283,2009,1,0.0,0*,,0.0,1.0,1/18,18.0,0.0,1.0,0.0,,T20I,125
56283,2010,2,3.0,3*,,0.0,1.0,1/29,70.0,0.0,1.0,0.0,,T20I,126
56283,2011,2,10.0,9,10.0,0.0,3.0,2/27,17.33,0.0,2.0,0.0,-7.33,T20I,127
56283,2012,9,6.0,3*,3.0,0.0,12.0,2/9,20.66,0.0,5.0,0.0,-17.66,T20I,128
56283,2013,4,14.0,6*,7.0,0.0,4.0,2/18,27.75,0.0,0.0,0.0,-20.74,T20I,129
56283,2014,6,0.0,0,0.0,0.0,5.0,2/20,19.8,0.0,1.0,0.0,-19.79,T20I,130
39091,2007,2,34.0,25*,17.0,0.0,11.0,4/105,32.0,0.0,1.0,0.0,-14.99,Test,131
39091,2010,2,61.0,60,30.5,0.0,9.0,3/81,48.55,0.0,0.0,0.0,-18.05,Test,132
39091,2011,8,109.0,40*,15.57,0.0,36.0,4/51,26.27,0.0,1.0,0.0,-10.7,Test,133
39091,2012,5,85.0,36,10.62,0.0,25.0,6/25,22.64,2.0,4.0,0.0,-12.01,Test,134
39091,2013,2,32.0,16,8.0,0.0,9.0,4/36,19.88,0.0,1.0,0.0,-11.88,Test,135
39091,2014,3,74.0,50,14.8,0.0,9.0,4/56,47.77,0.0,1.0,0.0,-32.97,Test,136
39091,2006,3,7.0,7,7.0,0.0,6.0,2/20,15.33,0.0,1.0,0.0,-8.33,ODI,137
39091,2007,8,52.0,31,8.66,0.0,6.0,2/58,57.5,0.0,1.0,0.0,-48.83,ODI,138
39091,2010,3,10.0,9*,10.0,0.0,0.0,,,0.0,0.0,0.0,,ODI,139
39091,2011,7,10.0,5*,3.33,0.0,5.0,2/32,48.2,0.0,0.0,0.0,-44.86,ODI,140
39091,2012,4,25.0,12*,12.5,0.0,4.0,2/41,40.5,0.0,3.0,0.0,-27.99,ODI,141
39091,2013,5,30.0,22,10.0,0.0,9.0,4/48,20.55,0.0,2.0,0.0,-10.55,ODI,142
39091,2014,1,8.0,8,8.0,0.0,0.0,,,0.0,0.0,0.0,,ODI,143
39091,2007,2,4.0,4*,,0.0,2.0,2/7,21.5,0.0,1.0,0.0,,T20I,144
39091,2010,4,4.0,2*,4.0,0.0,7.0,2/19,15.57,0.0,4.0,0.0,-11.57,T20I,145
39091,2011,1,7.0,7,7.0,0.0,2.0,2/22,11.0,0.0,1.0,0.0,-3.99,T20I,146
39091,2013,1,7.0,7*,,0.0,0.0,,,0.0,0.0,0.0,,T20I,147
51866,2012,3,122.0,55,30.5,0.0,0.0,,,0.0,4.0,0.0,,Test,148
1263722,2022,2,40.0,21,20.0,0.0,,,,,1.0,0.0,,T20I,149
1134974,2019,4,5.0,3,1.25,0.0,,,,,2.0,0.0,,T20I,150
26896,2000,1,0.0,0*,,0.0,2.0,2/75,37.5,0.0,0.0,0.0,,ODI,151
26896,2004,1,,,,,3.0,3/31,10.33,0.0,0.0,0.0,,ODI,152
1329941,2022,2,7.0,5,7.0,0.0,1.0,1/14,14.0,0.0,0.0,0.0,-6.99,T20I,153
1329941,2023,3,5.0,5,5.0,0.0,8.0,4/19,7.5,0.0,1.0,0.0,-2.49,T20I,154
233409,2014,1,2.0,2,2.0,0.0,1.0,1/12,12.0,0.0,0.0,0.0,-9.99,T20I,155
1204125,2021,4,97.0,58*,32.33,0.0,,,,,0.0,0.0,,T20I,156
1204125,2022,10,203.0,75,20.3,0.0,,,,,3.0,0.0,,T20I,157
1204125,2023,5,14.0,8,3.5,0.0,2.0,2/8,4.0,0.0,3.0,0.0,-0.49,T20I,158
1204126,2022,9,165.0,61,18.33,0.0,,,,,7.0,1.0,,T20I,159
1204126,2023,5,84.0,48,21.0,0.0,,,,,8.0,1.0,,T20I,160
1204126,2024,3,32.0,27,10.66,0.0,,,,,2.0,1.0,,T20I,161
1070183,2024,7,155.0,100,25.83,1.0,3.0,1/10,42.0,0.0,2.0,0.0,-16.16,T20I,162
